Inits,Part,Answer,Image,Freq
MM,2,1,/Users/abardon/Desktop/cns186_images/space/18.jpg,h
MM,2,0,/Users/abardon/Desktop/cns186_images/buildings/18.jpg,l
MM,2,0,/Users/abardon/Desktop/cns186_images/food/44.jpg,l
MM,2,1,/Users/abardon/Desktop/cns186_images/animals/43.jpg,l
MM,2,0,/Users/abardon/Desktop/cns186_images/buildings/39.jpg,l
MM,2,1,/Users/abardon/Desktop/cns186_images/animals/31.jpg,l
MM,2,1,/Users/abardon/Desktop/cns186_images/people/4.jpg,l
MM,2,1,/Users/abardon/Desktop/cns186_images/animals/15.jpg,l
MM,2,1,/Users/abardon/Desktop/cns186_images/animals/30.jpg,l
MM,2,1,/Users/abardon/Desktop/cns186_images/animals/17.jpg,l
MM,2,0,/Users/abardon/Desktop/cns186_images/people/42.jpg,l
MM,2,1,/Users/abardon/Desktop/cns186_images/space/20.jpg,h
MM,2,0,/Users/abardon/Desktop/cns186_images/space/14.jpg,h
MM,2,1,/Users/abardon/Desktop/cns186_images/animals/36.jpg,l
MM,2,0,/Users/abardon/Desktop/cns186_images/buildings/22.jpg,l
MM,2,0,/Users/abardon/Desktop/cns186_images/buildings/45.jpg,l
MM,2,0,/Users/abardon/Desktop/cns186_images/food/9.jpg,l
MM,2,0,/Users/abardon/Desktop/cns186_images/space/6.jpg,h
MM,2,1,/Users/abardon/Desktop/cns186_images/space/23.jpg,h
MM,2,1,/Users/abardon/Desktop/cns186_images/space/9.jpg,h
MM,2,1,/Users/abardon/Desktop/cns186_images/people/29.jpg,l
MM,2,0,/Users/abardon/Desktop/cns186_images/space/12.jpg,h
MM,2,1,/Users/abardon/Desktop/cns186_images/space/16.jpg,h
MM,2,0,/Users/abardon/Desktop/cns186_images/food/1.jpg,l
MM,2,1,/Users/abardon/Desktop/cns186_images/space/25.jpg,h
MM,2,0,/Users/abardon/Desktop/cns186_images/food/5.jpg,l
MM,2,1,/Users/abardon/Desktop/cns186_images/space/11.jpg,h
MM,2,0,/Users/abardon/Desktop/cns186_images/buildings/7.jpg,l
MM,2,0,/Users/abardon/Desktop/cns186_images/people/3.jpg,l
MM,2,1,/Users/abardon/Desktop/cns186_images/space/28.jpg,h
MM,2,1,/Users/abardon/Desktop/cns186_images/space/26.jpg,h
MM,2,0,/Users/abardon/Desktop/cns186_images/food/39.jpg,l
MM,2,1,/Users/abardon/Desktop/cns186_images/space/2.jpg,h
MM,2,1,/Users/abardon/Desktop/cns186_images/space/29.jpg,h
MM,2,1,/Users/abardon/Desktop/cns186_images/animals/41.jpg,l
MM,2,0,/Users/abardon/Desktop/cns186_images/space/21.jpg,h
MM,2,1,/Users/abardon/Desktop/cns186_images/space/1.jpg,h
MM,2,1,/Users/abardon/Desktop/cns186_images/space/10.jpg,h
MM,2,0,/Users/abardon/Desktop/cns186_images/people/37.jpg,l
MM,2,1,/Users/abardon/Desktop/cns186_images/animals/16.jpg,l
MM,2,0,/Users/abardon/Desktop/cns186_images/food/13.jpg,l
MM,2,0,/Users/abardon/Desktop/cns186_images/people/14.jpg,l
MM,2,0,/Users/abardon/Desktop/cns186_images/food/32.jpg,l
MM,2,1,/Users/abardon/Desktop/cns186_images/space/27.jpg,h
MM,2,0,/Users/abardon/Desktop/cns186_images/buildings/40.jpg,l
MM,2,1,/Users/abardon/Desktop/cns186_images/people/30.jpg,l
MM,2,1,/Users/abardon/Desktop/cns186_images/space/17.jpg,h
MM,2,0,/Users/abardon/Desktop/cns186_images/buildings/4.jpg,l
MM,2,0,/Users/abardon/Desktop/cns186_images/buildings/3.jpg,l
MM,2,0,/Users/abardon/Desktop/cns186_images/food/17.jpg,l
MM,2,1,/Users/abardon/Desktop/cns186_images/people/13.jpg,l
MM,4,2,/Users/abardon/Desktop/cns186_images/space/3.jpg,h
MM,4,1,/Users/abardon/Desktop/cns186_images/animals/5.jpg,l
MM,4,6,/Users/abardon/Desktop/cns186_images/food/9.jpg,l
MM,4,1,/Users/abardon/Desktop/cns186_images/space/28.jpg,h
MM,4,1,/Users/abardon/Desktop/cns186_images/animals/20.jpg,l
MM,4,6,/Users/abardon/Desktop/cns186_images/buildings/45.jpg,l
